#,,distance-to-solar-noon,temperature,wind-direction,wind-speed,sky-cover,visibility,humidity,average-wind-speed-(period),average-pressure-(period),power-generated
763,763,0.105172,54,19,1.504077,1,1.791759,5.291503,1.94591,30.23,13253
764,764,0.205172,54,19,1.504077,1,1.098612,6.63325,1.386294,30.18,20321
765,765,0.515517,54,19,1.504077,3,0.693147,7.348469,1.386294,30.16,5999
766,766,0.825862,54,19,1.504077,2,0.693147,6.708204,1.386294,30.19,0
767,767,1.136207,54,19,1.504077,1,0.693147,5.385165,1.791759,30.23,0
768,768,1.036207,51,19,1.526056,1,0.693147,5.656854,1.386294,30.22,0
769,769,0.725862,51,19,1.526056,0,0.693147,5.09902,1.386294,30.21,0
770,770,0.415517,51,19,1.526056,1,0.693147,3.741657,1.386294,30.24,110
771,771,0.105172,51,19,1.526056,1,1.386294,4.795832,2.079442,30.26,13734
772,772,0.205172,51,19,1.526056,1,1.609438,6.164414,1.386294,30.21,20887
773,773,0.515517,51,19,1.526056,1,1.386294,5.291503,1.386294,30.18,5603
774,774,0.825862,51,19,1.526056,1,1.098612,4.795832,1.386294,30.17,0
775,775,1.136207,51,19,1.526056,1,0.693147,4.472136,1.386294,30.18,0
776,776,1.037997,50,27,2.028148,2,1.386294,3.741657,1.94591,30.17,0
777,777,0.727116,50,27,2.028148,2,1.94591,3.316625,1.94591,30.16,0
778,778,0.416235,50,27,2.028148,2,2.079442,2,1.94591,30.13,140
779,779,0.105354,50,27,2.028148,4,2.251292,3.741657,1.386294,30.15,12328
780,780,0.205527,50,27,2.028148,4,1.791759,4.472136,2.484907,30.1,11715
781,781,0.516408,50,27,2.028148,4,0.693147,5.09902,2.397895,30.08,3854
782,782,0.827288,50,27,2.028148,4,0.693147,4.472136,2.197225,30.06,0
783,783,1.138169,50,27,2.028148,4,0.693147,4.472136,1.94591,30.07,0
784,784,1.041522,50,33,1.774952,4,0.693147,4.472136,1.94591,30.06,0
785,785,0.730104,50,33,1.774952,3,0.693147,3.741657,2.302585,30.07,0
786,786,0.418685,50,33,1.774952,3,1.098612,3.741657,1.386294,30.05,90
787,787,0.107266,50,33,1.774952,3,1.098612,4.795832,2.197225,30.1,3336
788,788,0.204152,50,33,1.774952,1,0.693147,4.795832,2.302585,30.07,15878
789,789,0.515571,50,33,1.774952,2,0.693147,5.385165,1.386294,30.07,5654
790,790,0.82699,50,33,1.774952,1,0.693147,5.09902,1.386294,30.08,0
791,791,1.138408,50,33,1.774952,0,0.693147,3.741657,1.386294,30.09,0
792,792,1.043328,49,19,2.00148,0,0.693147,3.316625,1.386294,30.11,0
793,793,0.731369,49,19,2.00148,1,0.693147,2.645751,1.386294,30.16,0
794,794,0.419411,49,19,2.00148,1,0.693147,6.557439,2.079442,30.23,108
795,795,0.107452,49,19,2.00148,1,0.693147,7.141428,1.94591,30.27,13962
796,796,0.204506,49,19,2.00148,1,0.693147,6.708204,2.079442,30.23,21545
797,797,0.516464,49,19,2.00148,1,0.693147,5.744563,2.484907,30.26,5580
798,798,0.828423,49,19,2.00148,0,0.693147,5.567764,1.94591,30.31,0
799,799,1.140381,49,19,2.00148,0,0.693147,4.472136,1.386294,30.35,0
800,800,1.046875,51,19,1.609438,0,1.098612,3.316625,1.94591,30.36,0
801,801,0.734375,51,19,1.609438,0,1.098612,3.741657,1.94591,30.35,0
802,802,0.421875,51,19,1.609438,0,1.791759,4.472136,2.397895,30.36,98
803,803,0.109375,51,19,1.609438,0,1.94591,5.09902,1.386294,30.39,13185
804,804,0.203125,51,19,1.609438,0,1.386294,7,1.386294,30.32,20658
805,805,0.515625,51,19,1.609438,1,1.098612,4.690416,1.94591,30.26,5430
806,806,0.828125,51,19,1.609438,0,0.693147,5.567764,1.386294,30.25,0
807,807,1.140625,51,19,1.609438,1,0.693147,5.09902,1.386294,30.27,0
808,808,1.046875,50,29,1.774952,0,0.693147,4.472136,1.386294,30.22,0
809,809,0.734375,50,29,1.774952,1,0.693147,4.123106,1.386294,30.18,0
810,810,0.421875,50,29,1.774952,1,0.693147,4.123106,2.302585,30.18,25
811,811,0.109375,50,29,1.774952,3,1.386294,5.291503,1.386294,30.18,12722
812,812,0.203125,50,29,1.774952,3,1.098612,5.744563,1.791759,30.1,17127
813,813,0.515625,50,29,1.774952,3,1.791759,4.690416,1.386294,30.04,4287
